City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
268,Rio Claro,BR,72.82,overcast clouds,-22.4114,-47.5614,Hotel Vivendas Rio Claro by Atlantica
270,Puerto Del Rosario,ES,73.15,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
271,Kalmunai,LK,81.01,broken clouds,7.4167,81.8167,VS Villa
275,Cusuna,HN,84.09,broken clouds,15.85,-85.2333,San Francisco de la paz
277,Awbari,LY,79.93,clear sky,26.5921,12.7805,فندق أوباري
278,Sal Rei,CV,79.0,clear sky,16.1833,-22.9167,Marine Club Beach Resort
281,Mahon,ES,72.16,clear sky,39.8885,4.2658,ARTIEM Capri
291,Weymouth,US,78.37,overcast clouds,42.2209,-70.9398,Arbor Inn Motor Lodge
294,Inongo,CD,76.57,overcast clouds,-1.95,18.2667,Hotel Du Lac
296,Saint-Joseph,RE,70.18,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
299,Abeche,TD,85.42,overcast clouds,13.8292,20.8324,Assaleh Hamdan Haroune
300,Niquero,CU,83.68,overcast clouds,20.0431,-77.5828,Islazul Niquero
305,Middelkerke,BE,78.8,clear sky,51.1558,2.8418,Honfleur
308,Lardos,GR,71.42,clear sky,36.0942,28.0157,Lindos Princess Beach Hotel
312,Hargeysa,SO,77.95,few clouds,9.56,44.065,City Center Hotel
313,Qunduz,AF,72.25,overcast clouds,36.729,68.857,Spin Zar cotton company
320,Merrill,US,72.1,broken clouds,45.1805,-89.6835,Prairie Motel
325,Abu Kamal,SY,87.8,broken clouds,34.4506,40.9171,البوكمال
330,Mao,ES,72.16,clear sky,39.8885,4.2658,ARTIEM Capri
335,Nouadhibou,MR,80.58,sand,20.931,-17.0347,El Medina
337,Naxos,GR,72.99,clear sky,37.1056,25.3764,Galaxy Hotel Naxos
339,Rincon,US,84.94,scattered clouds,32.296,-81.2354,Days Inn Rincon
342,Kumluca,TR,70.18,few clouds,36.3703,30.2869,TurkuazKöy
344,Jawhar,SO,78.42,scattered clouds,2.7809,45.5005,hantiwadaag village part one
345,Sechura,PE,75.51,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
346,Veraval,IN,83.71,clear sky,20.9,70.3667,Lords Inn Somnath
347,Vallenar,CL,78.6,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
349,Itacare,BR,72.18,overcast clouds,-14.2775,-38.9967,Ecoporan Hotel Charme Spa & Eventos
352,Jacqueville,CI,82.04,broken clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
353,Oranjestad,AW,87.75,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
357,Cachira,CO,73.36,overcast clouds,7.741,-73.0483,Hospedaje Fres Estrellas
358,Yarmouth,US,75.67,scattered clouds,41.7057,-70.2286,Blue Rock Resort
359,Obuasi,GH,79.5,broken clouds,6.206,-1.6619,Mawuli Hotel
365,Abha,SA,75.02,clear sky,18.2164,42.5053,Abha Hotel
366,Acari,PE,77.4,few clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
369,Catamayo,EC,73.65,broken clouds,-3.9833,-79.35,Gran Hotel Marcjohns
370,Upata,VE,84.06,overcast clouds,8.0086,-62.3989,Posada Villa Nela
371,Mangrol,IN,83.53,clear sky,21.1167,70.1167,Hotel The Royal Honours
372,Tabas,IR,76.68,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
376,Batouri,CM,75.72,light rain,4.4333,14.3667,Hotel Hollywood
380,Moroto,UG,73.85,scattered clouds,2.5345,34.6666,"Kara-Tunga, Karamoja Safari Camp"
383,Carmo,BR,72.43,light rain,-21.9336,-42.6086,Pousada do Carmo
388,Tallahassee,US,88.32,broken clouds,30.4383,-84.2807,Four Points by Sheraton Tallahassee Downtown
389,Surt,LY,71.46,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
391,Boa Vista,BR,87.78,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
392,Canico,PT,72.23,few clouds,32.6333,-16.85,Quinta Splendida Wellness & Botanical Garden
394,Helmstedt,DE,71.08,clear sky,52.2279,11.0099,Best Western Hotel Helmstedt am Lappwald
402,Chinchani,IN,83.07,clear sky,19.8667,72.7,Vasantshrushti Farm
405,Crnici,BA,80.38,few clouds,43.1289,17.8667,Country house Selimic
406,Biltine,TD,89.87,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
412,Rottweil,DE,70.38,broken clouds,48.1678,8.6272,MY HOME Hotel Lamm Rottweil
422,Carlos Chagas,BR,80.98,overcast clouds,-17.7031,-40.7664,Minas Hotel
424,Waycross,US,86.23,light rain,31.2136,-82.354,Super 8 by Wyndham Waycross GA
425,Mayumba,GA,78.04,light rain,-3.432,10.6554,LIKWALE LODGE
427,Koson,UZ,73.72,clear sky,39.0375,65.585,Jamshid Orziev ning uyi
429,Crotone,IT,75.15,clear sky,39.0851,17.1178,Helios Hotel
430,Port-Gentil,GA,82.36,scattered clouds,-0.7193,8.7815,Fengshui Residence
433,Galle,LK,80.56,overcast clouds,6.0367,80.217,Amangalla
438,Jacareacanga,BR,85.35,broken clouds,-6.2222,-57.7528,Casa do Ian😎
444,Sokoni,TZ,80.46,clear sky,-6.4333,39.55,Ujamaa Beach Resort
445,Mingaora,PK,75.47,overcast clouds,34.7758,72.3625,Burj Al Swat
453,Beira,MZ,73.49,broken clouds,-19.8436,34.8389,Beira Terrace Hotel
454,Conde,BR,83.66,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
455,Porto Santo,PT,70.18,clear sky,33.072,-16.3415,Hotel Porto Santo & Spa
461,Hanover,DE,71.56,clear sky,52.3705,9.7332,Central Hotel Kaiserhof
463,Tucupita,VE,83.43,overcast clouds,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
464,Caravelas,BR,79.57,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
468,Sinjar,IQ,83.21,scattered clouds,36.3209,41.8754,زوماني فون 1
469,Santa Isabel Do Rio Negro,BR,85.62,light rain,-0.4139,-65.0192,Hotel GSA
470,Cozumel,MX,84.94,clear sky,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
471,Ugoofaaru,MV,83.1,overcast clouds,5.6667,73.0,Ungoofaaru Inn
472,Lipari,IT,71.33,few clouds,38.4674,14.954,Hotel Villa Diana Soc. Clelia Hunziker s.a.s.
473,Adoni,IN,86.83,scattered clouds,15.6333,77.2833,Bheemas Regency
476,Grand Gaube,MU,73.8,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
482,Itarema,BR,83.1,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
483,Mana,GF,81.63,overcast clouds,5.6592,-53.7767,LE SAMANA
488,Cap Malheureux,MU,72.46,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
490,Uige,AO,74.14,overcast clouds,-7.6087,15.0613,Hotel Catraio
492,Prainha,BR,79.77,light rain,-1.8,-53.48,Casa Rocha
496,Freetown,SL,84.0,broken clouds,8.484,-13.2299,The Country Lodge Hotel
498,Muisne,EC,79.59,overcast clouds,0.6,-80.0333,Quinta Samay
499,Biscarrosse,FR,73.35,thunderstorm,44.3945,-1.1672,Saint Hubert
