City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
116,Saint George,37.1041,-113.5841,86.63,12,0,12.66,US,2022-05-06 00:11:52
117,Dauphin,51.1494,-100.0502,68.14,42,0,11.5,CA,2022-05-06 00:15:55
118,Atuona,-9.8,-139.0333,79.2,77,100,15.08,PF,2022-05-06 00:15:56
119,Longyearbyen,78.2186,15.6401,21.04,86,75,0.0,SJ,2022-05-06 00:15:56
120,Hofn,64.2539,-15.2082,41.58,67,73,10.36,IS,2022-05-06 00:15:57
121,Avarua,-21.2078,-159.775,82.45,74,40,6.91,CK,2022-05-06 00:15:58
122,Andra,62.5147,65.8878,28.89,95,100,7.16,RU,2022-05-06 00:12:19
123,Ornskoldsvik,63.2909,18.7153,40.15,75,69,10.36,SE,2022-05-06 00:15:58
124,Hithadhoo,-0.6,73.0833,84.34,73,100,16.78,MV,2022-05-06 00:15:59
125,Richards Bay,-28.783,32.0377,64.74,94,1,7.05,ZA,2022-05-06 00:15:59
126,Torbay,47.6666,-52.7314,41.76,95,100,8.05,CA,2022-05-06 00:16:00
127,Opuwo,-18.0607,13.84,62.78,40,0,7.83,NA,2022-05-06 00:16:00
128,Dengfeng,34.4553,113.0281,73.15,55,1,3.58,CN,2022-05-06 00:16:00
129,Namibe,-15.1961,12.1522,78.71,51,2,2.24,AO,2022-05-06 00:16:01
130,Bethel,41.3712,-73.414,63.45,65,100,3.09,US,2022-05-06 00:15:08
131,Fortuna,40.5982,-124.1573,61.14,86,75,16.11,US,2022-05-06 00:16:01
132,Nikolskoye,59.7035,30.7861,46.29,66,87,7.54,RU,2022-05-06 00:16:02
133,Samarai,-10.6167,150.6667,84.15,73,73,10.25,PG,2022-05-06 00:16:02
134,Salinopolis,-0.6136,-47.3561,78.49,86,97,6.2,BR,2022-05-06 00:16:03
135,Meulaboh,4.1363,96.1285,76.28,94,100,7.2,ID,2022-05-06 00:17:03
136,Dingle,10.9995,122.6711,84.0,73,75,10.65,PH,2022-05-06 00:17:04
