City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
221,Nanortalik,GL,60.1432,-45.2371,31.62,71,54,9.46,broken clouds
222,Sitges,ES,41.2351,1.8119,78.87,41,37,8.08,light rain
223,Nuuk,GL,64.1835,-51.7216,29.01,64,0,11.5,clear sky
224,Mercedes,AR,-34.6515,-59.4307,60.04,28,0,17.09,clear sky
225,Amapa,BR,1.0,-52.0,74.52,99,100,0.47,heavy intensity rain
226,Baglung,NP,28.2719,83.5898,70.32,60,30,6.22,scattered clouds
227,Japura,ID,-0.3167,102.35,78.66,90,68,1.5,broken clouds
228,Spartanburg,US,34.9496,-81.9321,85.33,59,59,5.61,light rain
229,Cachoeira Do Sul,BR,-30.0392,-52.8939,58.91,94,98,6.2,overcast clouds
230,Sept-Iles,CA,50.2001,-66.3821,52.05,52,75,20.71,broken clouds
231,Sao Filipe,CV,14.8961,-24.4956,78.04,66,55,7.25,broken clouds
232,Port-De-Bouc,FR,43.4,4.9833,79.75,47,0,10.36,clear sky
233,Radviliskis,LT,55.8167,23.5333,50.05,76,0,3.44,clear sky
234,Koroni,GR,36.8,21.95,67.71,75,0,8.48,clear sky
235,Bertoua,CM,4.5833,13.6833,75.27,78,76,1.36,light rain
236,Leeuwarden,NL,53.2014,5.8086,68.05,71,100,16.11,overcast clouds
237,Praia,CV,14.9215,-23.5087,88.34,35,0,27.63,clear sky
238,Geraldton,AU,-28.7667,114.6,54.01,87,4,8.05,clear sky
239,Verrettes,HT,19.05,-72.4667,88.68,46,97,2.62,overcast clouds
240,Pitimbu,BR,-7.4706,-34.8086,84.79,78,100,8.05,overcast clouds
241,Abonnema,NG,4.7084,6.7931,80.13,82,93,7.31,light rain
242,Callaway,US,30.153,-85.5699,82.33,80,40,12.66,moderate rain
243,Sciacca,IT,37.5082,13.0881,73.65,57,45,2.08,scattered clouds
244,Muros,ES,42.7762,-9.0603,67.15,79,98,17.67,light rain
245,Newcastle,AU,-32.9272,151.7765,65.71,95,16,9.22,few clouds
246,Havoysund,NO,70.9963,24.6622,41.23,97,100,9.24,overcast clouds
247,Conceicao Do Araguaia,BR,-8.2578,-49.2647,86.99,62,100,2.13,overcast clouds
248,Umm Kaddadah,SD,13.6017,26.6876,85.6,39,85,14.88,overcast clouds
249,Umba,RU,66.6871,34.3429,45.81,70,99,6.2,overcast clouds
250,Acarau,BR,-2.8856,-40.12,83.21,78,87,14.34,overcast clouds
251,Sars,RU,56.5502,57.1366,45.77,86,74,5.3,broken clouds
252,Charlestown,AU,-32.95,151.6667,65.73,95,14,5.44,few clouds
253,Saint-Francois,FR,46.4154,3.9054,72.84,68,86,1.14,overcast clouds
254,Ambilobe,MG,-13.2,49.05,71.47,81,2,3.36,clear sky
255,Coaticook,CA,45.1334,-71.7991,65.97,96,100,1.77,moderate rain
256,Porto Velho,BR,-8.7619,-63.9039,89.65,62,40,3.44,scattered clouds
257,Moose Factory,CA,51.2585,-80.6094,73.4,49,0,11.5,clear sky
258,Margate,GB,51.3813,1.3862,64.11,68,99,4.0,overcast clouds
259,Salinopolis,BR,-0.6136,-47.3561,84.06,75,84,12.97,broken clouds
260,Methoni,GR,36.8197,21.7049,67.86,79,0,9.26,clear sky
261,Aksarka,RU,66.5606,67.7975,46.13,88,86,8.05,overcast clouds
262,Rock Sound,BS,24.9,-76.2,79.29,75,2,5.73,heavy intensity rain
263,Cidreira,BR,-30.1811,-50.2056,63.93,89,97,12.8,overcast clouds
264,Meulaboh,ID,4.1363,96.1285,74.77,89,100,9.17,overcast clouds
265,Cabedelo,BR,-6.9811,-34.8339,84.87,80,99,9.93,light rain
266,Belmonte,BR,-15.8631,-38.8828,75.9,79,100,7.7,overcast clouds
267,Tupa,BR,-21.9347,-50.5136,73.38,74,90,9.84,overcast clouds
268,Rio Claro,BR,-22.4114,-47.5614,72.82,78,94,9.04,overcast clouds
269,Takab,IR,36.4009,47.1133,59.63,54,17,4.47,few clouds
270,Puerto Del Rosario,ES,28.5004,-13.8627,73.15,68,20,11.5,few clouds
271,Kalmunai,LK,7.4167,81.8167,81.01,75,78,5.82,broken clouds
272,Bougouni,ML,11.417,-7.479,101.03,7,96,3.98,overcast clouds
273,Kapuskasing,CA,49.4169,-82.4331,69.8,40,20,13.8,few clouds
274,Sikasso,ML,10.9167,-7.0,101.46,14,81,3.31,broken clouds
275,Cusuna,HN,15.85,-85.2333,84.09,66,82,7.72,broken clouds
276,Kamenka,RU,51.3223,42.7678,47.98,91,76,8.21,broken clouds
277,Awbari,LY,26.5921,12.7805,79.93,13,0,9.1,clear sky
278,Sal Rei,CV,16.1833,-22.9167,79.0,69,0,17.27,clear sky
279,Bollnas,SE,61.3482,16.3946,50.74,38,64,13.47,broken clouds
280,Roald,NO,62.5833,6.1333,50.92,66,0,8.05,clear sky
281,Mahon,ES,39.8885,4.2658,72.16,53,0,10.36,clear sky
282,Nowy Dwor Mazowiecki,PL,52.4302,20.7165,67.28,41,0,8.05,clear sky
283,Abay,KZ,49.6311,72.8539,53.98,51,56,8.16,broken clouds
284,Macroom,IE,51.9,-8.95,56.14,92,99,8.99,overcast clouds
285,Temyasovo,RU,52.9933,58.1014,44.17,97,99,3.0,overcast clouds
286,Marsa Matruh,EG,31.3525,27.2453,68.2,77,75,11.5,broken clouds
287,Pervomayskiy,RU,53.2485,40.2871,47.37,91,93,7.72,overcast clouds
288,Salacgriva,LV,57.7536,24.3581,45.39,69,3,13.6,clear sky
289,Gorshechnoye,RU,51.5244,38.0365,46.99,92,94,8.08,overcast clouds
290,Paamiut,GL,61.994,-49.6678,32.27,67,11,15.32,few clouds
291,Weymouth,US,42.2209,-70.9398,78.37,68,100,10.36,overcast clouds
292,Killybegs,IE,54.6333,-8.45,65.91,76,23,13.94,few clouds
293,Iquique,CL,-20.2208,-70.1431,62.64,67,19,7.0,few clouds
294,Inongo,CD,-1.95,18.2667,76.57,78,89,3.22,overcast clouds
295,Reinosa,ES,42.9996,-4.138,65.05,63,87,15.12,overcast clouds
296,Saint-Joseph,RE,-21.3667,55.6167,70.18,78,20,11.14,few clouds
297,Skibbereen,IE,51.55,-9.2667,57.11,94,95,12.28,overcast clouds
298,San Juan,AR,-31.5375,-68.5364,54.37,38,99,2.71,overcast clouds
299,Abeche,TD,13.8292,20.8324,85.42,42,100,11.95,overcast clouds
300,Niquero,CU,20.0431,-77.5828,83.68,64,100,7.23,overcast clouds
301,Sisimiut,GL,66.9395,-53.6735,31.46,52,0,8.23,clear sky
302,Aswan,EG,24.0934,32.907,99.7,16,37,13.8,scattered clouds
303,Channel-Port Aux Basques,CA,47.5702,-59.1367,47.25,78,70,8.99,broken clouds
304,Passagem Franca,BR,-6.1797,-43.7836,90.18,46,71,6.04,broken clouds
305,Middelkerke,BE,51.1558,2.8418,78.8,36,0,10.36,clear sky
306,Bauchi,NG,10.5,10.0,91.02,15,19,4.76,few clouds
307,Kosa,RU,59.9445,54.9977,47.93,79,70,4.74,broken clouds
308,Lardos,GR,36.0942,28.0157,71.42,70,0,15.82,clear sky
309,Jiblah,YE,13.9216,44.1467,69.64,39,0,1.54,clear sky
310,Shalya,RU,57.2471,58.7298,45.79,89,42,4.88,scattered clouds
311,Lagoa,PT,39.05,-27.9833,58.23,82,95,17.4,light rain
312,Hargeysa,SO,9.56,44.065,77.95,21,18,8.28,few clouds
313,Qunduz,AF,36.729,68.857,72.25,48,92,1.48,overcast clouds
314,Colares,PT,38.7992,-9.4469,69.98,76,75,15.99,broken clouds
315,Camana,PE,-16.6228,-72.7111,68.52,73,27,9.46,scattered clouds
316,Manyana,BW,-23.4,21.7167,69.35,27,47,7.54,scattered clouds
317,Hemnesberget,NO,66.2333,13.6333,43.52,89,100,7.47,overcast clouds
318,Gao,ML,16.6362,1.637,94.66,27,80,13.67,broken clouds
319,George,ZA,-33.963,22.4617,56.75,88,0,4.61,clear sky
320,Merrill,US,45.1805,-89.6835,72.1,33,75,13.8,broken clouds
321,Clyde River,CA,70.4692,-68.5914,28.63,80,75,10.36,broken clouds
322,San Luis,AR,-33.295,-66.3356,59.76,29,7,11.16,clear sky
323,Luderitz,NA,-26.6481,15.1594,69.49,36,36,6.15,scattered clouds
324,Bridlington,GB,54.0831,-0.1919,57.88,88,100,16.02,overcast clouds
325,Abu Kamal,SY,34.4506,40.9171,87.8,23,71,28.25,broken clouds
326,Hrodna,BY,53.6884,23.8258,49.84,70,52,8.12,broken clouds
327,Guane,CU,22.2025,-84.0875,90.9,40,0,2.62,clear sky
328,Djibo,BF,14.1022,-1.6306,98.85,6,88,2.68,overcast clouds
329,Albany,US,42.6001,-73.9662,79.63,73,78,4.83,broken clouds
330,Mao,ES,39.8885,4.2658,72.16,53,0,10.36,clear sky
331,Yelanskiy,RU,56.8419,62.5014,50.94,74,94,6.29,overcast clouds
